time,vertical
26.227,-5.34E-02
26.261,-4.83E-02
26.295,-4.21E-02
26.328,-3.54E-02
26.362,-2.79E-02
26.396,-2.01E-02
26.43,-1.17E-02
26.463,-3.53E-03
26.497,5.12E-03
26.531,1.34E-02
26.565,2.14E-02
26.598,2.90E-02
26.632,3.59E-02
26.666,4.25E-02
26.7,4.83E-02
26.733,5.30E-02
26.767,5.71E-02
26.801,5.97E-02
26.835,6.16E-02
26.868,6.25E-02
26.902,6.27E-02
26.936,6.16E-02
26.97,5.93E-02
27.003,5.60E-02
27.037,5.17E-02
27.071,4.69E-02
27.105,4.12E-02
27.138,3.46E-02
27.172,2.82E-02
27.206,2.09E-02
27.24,1.34E-02
27.273,5.73E-03
27.307,-2.66E-03
27.341,-1.02E-02
27.375,-1.78E-02
27.408,-2.50E-02
27.442,-3.17E-02
27.476,-3.85E-02
27.51,-4.42E-02
27.543,-4.91E-02
27.577,-5.31E-02
27.611,-5.61E-02
27.645,-5.80E-02
27.679,-5.91E-02
27.712,-5.92E-02
27.746,-5.83E-02
27.78,-5.65E-02
27.814,-5.36E-02
27.847,-4.98E-02
27.881,-4.50E-02
27.915,-3.91E-02
27.949,-3.28E-02
27.982,-2.59E-02
28.016,-1.82E-02
28.05,-1.08E-02
28.084,-2.90E-03
28.117,5.39E-03
28.151,1.38E-02
28.185,2.16E-02
28.219,2.89E-02
28.252,3.55E-02
28.286,4.19E-02
28.32,4.68E-02
28.354,5.15E-02
28.387,5.51E-02
28.421,5.80E-02
28.455,6.01E-02
28.489,6.11E-02
28.522,6.12E-02
28.556,6.05E-02
28.59,5.84E-02
28.624,5.54E-02
28.657,5.15E-02
28.691,4.66E-02
28.725,4.12E-02
28.759,3.55E-02
28.792,2.88E-02
28.826,2.17E-02
28.86,1.45E-02
28.894,7.23E-03
28.927,-2.96E-04
28.961,-7.31E-03
28.995,-1.44E-02
29.029,-2.16E-02
29.062,-2.80E-02
29.096,-3.40E-02
29.13,-3.96E-02
29.164,-4.41E-02
29.197,-4.80E-02
29.231,-5.09E-02
29.265,-5.32E-02
29.299,-5.45E-02
29.332,-5.47E-02
29.366,-5.38E-02
29.4,-5.21E-02
29.434,-4.95E-02
29.467,-4.60E-02
29.501,-4.17E-02
29.535,-3.66E-02
29.569,-3.05E-02
29.602,-2.41E-02
29.636,-1.74E-02
29.67,-1.06E-02
29.704,-3.36E-03
29.738,4.46E-03
29.771,1.26E-02
29.805,2.01E-02
29.839,2.67E-02
29.873,3.31E-02
29.906,3.88E-02
29.94,4.40E-02
29.974,4.81E-02
30.008,5.17E-02
30.041,5.45E-02
30.075,5.62E-02
30.109,5.71E-02
30.143,5.71E-02
30.176,5.61E-02
30.21,5.40E-02
30.244,5.10E-02
30.278,4.74E-02
30.311,4.30E-02
30.345,3.82E-02
30.379,3.25E-02
30.413,2.65E-02
30.446,2.01E-02
30.48,1.34E-02
30.514,6.42E-03
30.548,-6.18E-04
30.581,-7.28E-03
30.615,-1.37E-02
30.649,-2.03E-02
30.683,-2.67E-02
30.716,-3.21E-02
30.75,-3.70E-02
30.784,-4.08E-02
30.818,-4.46E-02
30.851,-4.72E-02
30.885,-4.93E-02
30.919,-5.00E-02
30.953,-5.04E-02
30.986,-4.98E-02
31.02,-4.82E-02
31.054,-4.60E-02
31.088,-4.28E-02
31.121,-3.88E-02
31.155,-3.39E-02
31.189,-2.86E-02
31.223,-2.28E-02
31.256,-1.63E-02
31.29,-9.66E-03
31.324,-2.77E-03
31.358,4.34E-03
31.391,1.11E-02
31.425,1.77E-02
31.459,2.41E-02
31.493,3.03E-02
31.526,3.57E-02
31.56,4.04E-02
31.594,4.47E-02
31.628,4.81E-02
31.662,5.06E-02
31.695,5.21E-02
31.729,5.31E-02
31.763,5.30E-02
31.797,5.21E-02
31.83,5.04E-02
31.864,4.77E-02
31.898,4.44E-02
31.932,4.03E-02
31.965,3.54E-02
31.999,2.99E-02
32.033,2.43E-02
32.067,1.80E-02
32.1,1.16E-02
32.134,5.51E-03
32.168,-1.11E-03
32.202,-7.62E-03
32.235,-1.39E-02
32.269,-1.98E-02
32.303,-2.56E-02
32.337,-3.08E-02
32.37,-3.54E-02
32.404,-3.94E-02
32.438,-4.27E-02
32.472,-4.52E-02
32.505,-4.71E-02
32.539,-4.78E-02
32.573,-4.83E-02
32.607,-4.78E-02
32.64,-4.63E-02
32.674,-4.43E-02
32.708,-4.09E-02
32.742,-3.72E-02
32.775,-3.27E-02
32.809,-2.78E-02
32.843,-2.24E-02
32.877,-1.64E-02
32.91,-1.03E-02
32.944,-3.88E-03
32.978,2.81E-03
33.012,9.16E-03
33.045,1.58E-02
33.079,2.19E-02
33.113,2.75E-02
33.147,3.28E-02
33.18,3.73E-02
33.214,4.12E-02
33.248,4.46E-02
33.282,4.71E-02
33.315,4.87E-02
33.349,4.96E-02
33.383,4.96E-02
33.417,4.90E-02
33.45,4.70E-02
33.484,4.46E-02
33.518,4.15E-02
33.552,3.74E-02
33.585,3.30E-02
33.619,2.80E-02
33.653,2.26E-02
33.687,1.70E-02
33.721,1.08E-02
33.754,4.67E-03
33.788,-1.46E-03
33.822,-7.66E-03
33.856,-1.35E-02
33.889,-1.93E-02
33.923,-2.48E-02
33.957,-2.97E-02
33.991,-3.42E-02
34.024,-3.80E-02
34.058,-4.11E-02
34.092,-4.36E-02
34.126,-4.53E-02
34.159,-4.65E-02
34.193,-4.68E-02
34.227,-4.65E-02
34.261,-4.53E-02
34.294,-4.32E-02
34.328,-4.04E-02
34.362,-3.70E-02
34.396,-3.26E-02
34.429,-2.79E-02
34.463,-2.27E-02
34.497,-1.72E-02
34.531,-1.11E-02
34.564,-5.01E-03
34.598,1.16E-03
34.632,7.32E-03
34.666,1.36E-02
34.699,1.96E-02
34.733,2.50E-02
34.767,2.99E-02
34.801,3.45E-02
34.834,3.83E-02
34.868,4.14E-02
34.902,4.37E-02
34.936,4.54E-02
34.969,4.63E-02
35.003,4.64E-02
35.037,4.58E-02
35.071,4.45E-02
35.104,4.21E-02
35.138,3.89E-02
35.172,3.52E-02
35.206,3.11E-02
35.239,2.63E-02
35.273,2.13E-02
35.307,1.60E-02
35.341,1.00E-02
35.374,4.36E-03
35.408,-1.79E-03
35.442,-7.56E-03
35.476,-1.33E-02
35.509,-1.87E-02
35.543,-2.36E-02
35.577,-2.85E-02
35.611,-3.25E-02
35.645,-3.59E-02
35.678,-3.88E-02
35.712,-4.10E-02
35.746,-4.27E-02
35.78,-4.35E-02
35.813,-4.38E-02
35.847,-4.33E-02
35.881,-4.23E-02
35.915,-4.02E-02
35.948,-3.75E-02
35.982,-3.40E-02
36.016,-3.01E-02
36.05,-2.55E-02
36.083,-2.04E-02
36.117,-1.48E-02
36.151,-8.89E-03
36.185,-3.36E-03
36.218,2.38E-03
36.252,8.49E-03
36.286,1.40E-02
36.32,1.93E-02
